Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
12/07/2024 14:44,14:44:00,CNR1591113431,Success,CID902781,eBike,Koramangala,Sarjapur Road,245,70,null,null,No,null,2014,Cash,33,4.2,4.9,#NAME?
11/07/2024 20:42,20:42:00,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,84,25,null,null,No,null,650,Cash,34,4.9,3.4,#NAME?
08/07/2024 22:33,22:33:00,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,168,65,null,null,No,null,231,Cash,2,3.2,3.7,#NAME?
16/07/2024 10:17,10:17:00,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,null,null,null,Customer was coughing/sick,null,null,909,null,0,null,null,#NAME?
03/07/2024 18:20,18:20:00,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,231,145,null,null,No,null,189,Cash,6,4.9,3.3,#NAME?
03/07/2024 21:17,21:17:00,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,56,105,null,null,No,null,311,Cash,28,4.3,3,#NAME?
19/07/2024 21:18,21:18:00,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,231,50,null,null,No,null,286,UPI,44,4,3.3,#NAME?
25/07/2024 03:44,03:44:00,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,175,50,null,null,No,null,141,UPI,35,4.7,3.1,#NAME?
15/07/2024 17:11,17:11:00,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,84,60,null,null,No,null,214,UPI,2,3.3,4.5,#NAME?
30/07/2024 19:44,19:44:00,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,35,145,null,null,No,null,2183,Cash,20,4,4.4,#NAME?
21/07/2024 08:26,08:26:00,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,null,null,Driver asked to cancel,null,null,null,604,null,0,null,null,#NAME?
23/07/2024 07:04,07:04:00,CNR2998177390,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,null,null,null,null,null,null,802,null,0,null,null,#NAME?
27/07/2024 06:18,06:18:00,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,189,65,null,null,No,null,1095,Cash,38,4.8,4.7,#NAME?
23/07/2024 10:17,10:17:00,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,null,null,Driver is not moving towards pickup location,null,null,null,120,null,0,null,null,#NAME?
23/07/2024 12:56,12:56:00,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,49,85,null,null,No,null,241,Cash,33,3.2,3.5,#NAME?
08/07/2024 11:52,11:52:00,CNR4094067439,Success,CID896062,Prime Sedan,Majestic,Jayanagar,77,140,null,null,No,null,475,Cash,45,4.3,3.1,#NAME?
14/07/2024 05:25,05:25:00,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,210,45,null,null,No,null,461,UPI,49,4.5,3.1,#NAME?
23/07/2024 09:33,09:33:00,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,null,null,null,Customer related issue,null,null,783,null,0,null,null,#NAME?
03/07/2024 16:16,16:16:00,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,null,null,null,Customer was coughing/sick,null,null,995,null,0,null,null,#NAME?
03/07/2024 00:58,00:58:00,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,287,40,null,null,Yes,Customer Demand,1102,UPI,41,3.1,3.5,#NAME?
24/07/2024 17:31,17:31:00,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,null,null,null,Customer related issue,null,null,170,null,0,null,null,#NAME?
10/07/2024 21:56,21:56:00,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,210,105,null,null,No,null,444,UPI,6,3.8,4.9,#NAME?
20/07/2024 15:30,15:30:00,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,null,null,null,Customer related issue,null,null,1130,null,0,null,null,#NAME?
11/07/2024 03:22,03:22:00,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,294,145,null,null,No,null,876,Cash,21,4.7,3.3,#NAME?
06/07/2024 15:02,15:02:00,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,42,90,null,null,No,null,680,UPI,24,4.7,3.8,#NAME?
05/07/2024 20:28,20:28:00,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,266,65,null,null,No,null,425,Cash,11,3.5,4.6,#NAME?
11/07/2024 11:28,11:28:00,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,56,140,null,null,No,null,989,Cash,4,4.5,4.2,#NAME?
16/07/2024 16:25,16:25:00,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,null,null,null,null,null,null,594,null,0,null,null,#NAME?
12/07/2024 18:02,18:02:00,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,294,95,null,null,No,null,443,Cash,5,3.4,3.1,#NAME?
16/07/2024 22:35,22:35:00,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,35,95,null,null,No,null,721,Cash,19,3.8,4.7,#NAME?
26/07/2024 13:20,13:20:00,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,217,120,null,null,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6,#NAME?
25/07/2024 03:33,03:33:00,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,77,35,null,null,No,null,747,Cash,25,5,3.5,#NAME?
17/07/2024 03:30,03:30:00,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,308,110,null,null,No,null,799,UPI,25,3.9,4.7,#NAME?
07/07/2024 05:59,05:59:00,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,63,135,null,null,No,null,300,Cash,14,3.3,4.6,#NAME?
01/07/2024 02:21,02:21:00,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,null,null,null,null,null,null,162,null,0,null,null,#NAME?
01/07/2024 02:45,02:45:00,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,308,70,null,null,No,null,618,UPI,30,3.5,3.7,#NAME?
02/07/2024 04:17,04:17:00,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,91,120,null,null,No,null,251,UPI,9,5,4.4,#NAME?
13/07/2024 02:27,02:27:00,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,null,null,null,More than permitted people in there,null,null,543,null,0,null,null,#NAME?
25/07/2024 10:57,10:57:00,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35,115,null,null,No,null,724,Cash,11,4.5,4.8,#NAME?
18/07/2024 00:37,00:37:00,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,196,80,null,null,No,null,316,UPI,27,3.1,4.7,#NAME?
22/07/2024 13:08,13:08:00,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224,60,null,null,No,null,138,UPI,24,5,3,#NAME?
15/07/2024 07:21,07:21:00,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,280,55,null,null,No,null,467,Cash,24,4.5,4.2,#NAME?
19/07/2024 10:29,10:29:00,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,null,null,null,null,null,null,565,null,0,null,null,#NAME?
07/07/2024 16:56,16:56:00,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,null,null,null,More than permitted people in there,null,null,276,null,0,null,null,#NAME?
06/07/2024 01:18,01:18:00,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,null,null,No,null,296,UPI,5,4,4.3,#NAME?
04/07/2024 15:32,15:32:00,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,null,null,null,null,null,null,1310,null,0,null,null,#NAME?
26/07/2024 17:17,17:17:00,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,null,null,AC is Not working,null,null,null,771,null,0,null,null,#NAME?
01/07/2024 02:55,02:55:00,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,42,25,null,null,No,null,279,Cash,43,4.3,3.4,#NAME?
22/07/2024 16:24,16:24:00,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,308,145,null,null,No,null,321,Cash,39,3.3,4.7,#NAME?
21/07/2024 19:56,19:56:00,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,189,35,null,null,No,null,457,Cash,1,4.1,3.4,#NAME?
05/07/2024 13:55,13:55:00,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217,45,null,null,No,null,139,Cash,45,4.9,3.8,#NAME?
29/07/2024 19:40,19:40:00,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,168,140,null,null,Yes,Customer Demand,685,UPI,7,4.1,4.9,#NAME?
15/07/2024 21:19,21:19:00,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,null,null,null,More than permitted people in there,null,null,150,null,0,null,null,#NAME?
16/07/2024 13:15,13:15:00,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,133,90,null,null,No,null,196,UPI,21,4.3,3.4,#NAME?
14/07/2024 11:37,11:37:00,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,null,null,null,Personal & Car related issue,null,null,424,null,0,null,null,#NAME?
11/07/2024 21:40,21:40:00,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,null,null,null,More than permitted people in there,null,null,827,null,0,null,null,#NAME?
14/07/2024 04:15,04:15:00,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301,115,null,null,No,null,770,Cash,27,3.3,4.3,#NAME?
17/07/2024 07:30,07:30:00,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,null,null,null,null,null,null,325,null,0,null,null,#NAME?
04/07/2024 14:43,14:43:00,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161,25,null,null,No,null,986,Cash,18,4.6,4.8,#NAME?
29/07/2024 14:56,14:56:00,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266,115,null,null,No,null,2208,Cash,40,4,4.5,#NAME?
17/07/2024 19:55,19:55:00,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,168,30,null,null,No,null,1695,UPI,20,4.5,4.7,#NAME?
20/07/2024 10:58,10:58:00,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,null,null,null,Customer related issue,null,null,305,null,0,null,null,#NAME?
08/07/2024 09:18,09:18:00,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63,105,null,null,No,null,2271,Cash,37,3.4,4.2,#NAME?
07/07/2024 01:31,01:31:00,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,154,135,null,null,No,null,240,UPI,4,4,4.9,#NAME?
30/07/2024 01:20,01:20:00,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,287,95,null,null,No,null,482,Cash,37,4.4,3.9,#NAME?
03/07/2024 11:25,11:25:00,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252,45,null,null,No,null,536,UPI,17,3.9,4.4,#NAME?
11/07/2024 10:44,10:44:00,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,287,100,null,null,No,null,188,UPI,37,4.9,4.1,#NAME?
22/07/2024 18:17,18:17:00,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,null,null,null,Customer related issue,null,null,202,null,0,null,null,#NAME?
21/07/2024 06:54,06:54:00,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,null,null,null,Customer related issue,null,null,1609,null,0,null,null,#NAME?
22/07/2024 00:21,00:21:00,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,null,null,null,Personal & Car related issue,null,null,1821,null,0,null,null,#NAME?
26/07/2024 09:39,09:39:00,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,42,40,null,null,No,null,415,UPI,22,3.6,3.1,#NAME?
26/07/2024 06:06,06:06:00,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308,145,null,null,No,null,2125,UPI,6,3.8,4.6,#NAME?
03/07/2024 15:04,15:04:00,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,null,null,null,Customer related issue,null,null,758,null,0,null,null,#NAME?
07/07/2024 09:55,09:55:00,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,null,null,null,null,null,null,653,null,0,null,null,#NAME?
22/07/2024 12:51,12:51:00,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,168,135,null,null,Yes,Other Issue,704,Cash,42,4.7,4.8,#NAME?
19/07/2024 04:48,04:48:00,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84,105,null,null,No,null,385,Cash,19,4.1,3.7,#NAME?
01/07/2024 05:03,05:03:00,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35,45,null,null,No,null,934,UPI,12,3.3,5,#NAME?
23/07/2024 04:01,04:01:00,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,null,null,null,Customer related issue,null,null,615,null,0,null,null,#NAME?
26/07/2024 08:22,08:22:00,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,56,30,null,null,No,null,2202,Cash,44,4.7,3.4,#NAME?
05/07/2024 12:36,12:36:00,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252,145,null,null,No,null,205,Cash,43,4.1,3.1,#NAME?
18/07/2024 07:21,07:21:00,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,null,null,Driver asked to cancel,null,null,null,513,null,0,null,null,#NAME?
21/07/2024 08:21,08:21:00,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182,50,null,null,No,null,247,Cash,8,3.1,3.3,#NAME?
13/07/2024 02:55,02:55:00,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,259,75,null,null,Yes,Other Issue,558,UPI,41,3.2,3.2,#NAME?
08/07/2024 07:56,07:56:00,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217,55,null,null,No,null,291,UPI,5,3.8,3.3,#NAME?
22/07/2024 04:32,04:32:00,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56,110,null,null,No,null,925,Cash,22,3,4,#NAME?
24/07/2024 21:58,21:58:00,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280,30,null,null,No,null,121,Cash,44,3.8,4.5,#NAME?
21/07/2024 03:13,03:13:00,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,null,null,null,null,null,null,404,null,0,null,null,#NAME?
29/07/2024 12:44,12:44:00,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,null,null,Change of plans,null,null,null,223,null,0,null,null,#NAME?
15/07/2024 08:31,08:31:00,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,null,null,null,null,null,null,2989,null,0,null,null,#NAME?
01/07/2024 11:01,11:01:00,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63,130,null,null,No,null,728,Cash,14,4.3,5,#NAME?
11/07/2024 10:50,10:50:00,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,210,85,null,null,No,null,2416,UPI,49,3.1,3.8,#NAME?
30/07/2024 10:02,10:02:00,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,null,null,Driver is not moving towards pickup location,null,null,null,371,null,0,null,null,#NAME?
07/07/2024 18:36,18:36:00,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203,25,null,null,No,null,258,Cash,32,4.7,4.1,#NAME?
27/07/2024 23:48,23:48:00,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,null,null,null,null,null,null,170,null,0,null,null,#NAME?
16/07/2024 15:25,15:25:00,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,null,null,Driver asked to cancel,null,null,null,151,null,0,null,null,#NAME?
26/07/2024 21:02,21:02:00,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,null,null,null,Customer related issue,null,null,425,null,0,null,null,#NAME?
04/07/2024 03:31,03:31:00,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91,25,null,null,No,null,220,UPI,2,3.4,3.1,#NAME?
16/07/2024 10:15,10:15:00,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,301,145,null,null,No,null,472,UPI,16,3.3,4.5,#NAME?
20/07/2024 22:27,22:27:00,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,null,null,null,Customer related issue,null,null,616,null,0,null,null,#NAME?
15/07/2024 09:20,09:20:00,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,42,130,null,null,No,null,473,Cash,49,4,4.2,#NAME?
04/07/2024 18:13,18:13:00,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126,115,null,null,No,null,259,Cash,11,4.8,4.5,#NAME?
27/07/2024 11:58,11:58:00,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,77,35,null,null,No,null,310,Credit Card,2,3.3,3.1,#NAME?
09/07/2024 21:32,21:32:00,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,null,null,null,Personal & Car related issue,null,null,200,null,0,null,null,#NAME?
30/07/2024 10:14,10:14:00,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,189,85,null,null,No,null,471,UPI,39,3.5,3.7,#NAME?
13/07/2024 21:23,21:23:00,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,287,125,null,null,No,null,442,UPI,37,4.1,4.5,#NAME?
29/07/2024 19:56,19:56:00,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,175,65,null,null,No,null,228,Cash,10,3.7,4.3,#NAME?
24/07/2024 09:25,09:25:00,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,null,null,null,Customer was coughing/sick,null,null,232,null,0,null,null,#NAME?
29/07/2024 23:15,23:15:00,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,null,null,null,null,null,null,344,null,0,null,null,#NAME?
08/07/2024 07:52,07:52:00,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,266,65,null,null,No,null,2604,UPI,10,3.8,4.1,#NAME?
16/07/2024 04:52,04:52:00,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,210,120,null,null,No,null,274,Cash,37,3.1,3.6,#NAME?
09/07/2024 13:07,13:07:00,CNR1281921513,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,null,null,Driver is not moving towards pickup location,null,null,null,895,null,0,null,null,#NAME?
26/07/2024 16:05,16:05:00,CNR2959980296,Success,CID509309,Bike,Hosur Road,Richmond Town,91,60,null,null,No,null,279,Cash,34,4.5,3.2,#NAME?
26/07/2024 23:32,23:32:00,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,294,45,null,null,No,null,1946,Cash,16,3,3.5,#NAME?
05/07/2024 04:23,04:23:00,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,231,65,null,null,No,null,1024,UPI,4,4.8,4.1,#NAME?
23/07/2024 10:25,10:25:00,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Frazer Town,Sarjapur Road,null,null,Driver asked to cancel,null,null,null,294,null,0,null,null,#NAME?
23/07/2024 19:44,19:44:00,CNR8116331340,Success,CID777382,Auto,RT Nagar,Sarjapur Road,266,55,null,null,No,null,252,UPI,8,4,4.8,#NAME?
28/07/2024 10:29,10:29:00,CNR3491700602,Success,CID247449,Mini,Richmond Town,Langford Town,84,145,null,null,No,null,2542,UPI,2,3.5,4.1,#NAME?
19/07/2024 15:04,15:04:00,CNR2166456022,Success,CID930312,Mini,Yeshwanthpur,Indiranagar,266,75,null,null,No,null,1821,Cash,34,4.4,4.7,#NAME?
12/07/2024 08:33,08:33:00,CNR2177201692,Success,CID614111,Mini,Richmond Town,Yeshwanthpur,105,145,null,null,No,null,200,Cash,31,4.9,4,#NAME?
16/07/2024 10:22,10:22:00,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Koramangala,Indiranagar,null,null,null,Customer was coughing/sick,null,null,152,null,0,null,null,#NAME?
25/07/2024 11:15,11:15:00,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,133,145,null,null,No,null,2388,Cash,4,4.4,3.6,#NAME?
28/07/2024 06:34,06:34:00,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,77,100,null,null,No,null,783,Cash,37,3.5,3.5,#NAME?
03/07/2024 20:56,20:56:00,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Electronic City,KR Puram,null,null,null,null,null,null,208,null,0,null,null,#NAME?
17/07/2024 07:28,07:28:00,CNR2976802436,Success,CID592039,Prime SUV,Tumkur Road,Cox Town,168,50,null,null,No,null,1181,UPI,10,3.4,4.9,#NAME?
01/07/2024 03:29,03:29:00,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,HSR Layout,KR Puram,null,null,Change of plans,null,null,null,843,null,0,null,null,#NAME?
20/07/2024 13:53,13:53:00,CNR1945536909,Success,CID796614,Auto,Sahakar Nagar,JP Nagar,224,80,null,null,No,null,441,Cash,7,3,3.1,#NAME?
10/07/2024 02:02,02:02:00,CNR8097291227,Success,CID734844,Prime Plus,Mysore Road,Rajajinagar,238,25,null,null,No,null,332,UPI,38,3.8,3.4,#NAME?
12/07/2024 16:22,16:22:00,CNR1433815646,Success,CID307267,Prime SUV,Banashankari,Marathahalli,42,65,null,null,No,null,832,Cash,11,3.4,4.1,#NAME?
15/07/2024 06:58,06:58:00,CNR5876056264,Success,CID568720,Prime SUV,Kadugodi,Shantinagar,231,30,null,null,No,null,1361,UPI,47,4,3.9,#NAME?
04/07/2024 21:47,21:47:00,CNR2943788515,Canceled by Driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,null,null,null,More than permitted people in there,null,null,415,null,0,null,null,#NAME?
28/07/2024 07:06,07:06:00,CNR5599931622,Success,CID822709,Prime SUV,Peenya,Frazer Town,42,55,null,null,No,null,747,Cash,28,3.8,3,#NAME?
02/07/2024 01:54,01:54:00,CNR6776927575,Success,CID817693,Bike,Hosur Road,Nagarbhavi,245,55,null,null,No,null,129,Cash,5,4.4,4.2,#NAME?
10/07/2024 18:38,18:38:00,CNR4880622143,Success,CID602848,eBike,Rajajinagar,Kammanahalli,98,100,null,null,No,null,296,UPI,34,3.3,4.2,#NAME?
27/07/2024 03:13,03:13:00,CNR2841702950,Success,CID268274,Auto,Sarjapur Road,Sarjapur Road,231,105,null,null,No,null,337,UPI,18,4.5,4.2,#NAME?
